,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset,set
178,PAun,F,O,,15,I,,regen-long,Luke,FALSE,O,?,7.5,phaw_2,old
179,PBreg,F,O,R-A,15,I,,regen-long,Luke,FALSE,OR-A,?,7.5,phaw_2,old
180,PBun,F,O,,15,I,,regen-long,Luke,FALSE,O,?,7.5,phaw_2,old
181,BA,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.3,phaw_2,new
182,BB,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.1,phaw_2,new
183,BC,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.5,phaw_2,new
184,BD,F,O,,16,I,,Size-age,Luke,FALSE,O,?,9,phaw_2,new
185,BE,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.4,phaw_2,new
186,BF,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.6,phaw_2,new
187,BG,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.3,phaw_2,new
188,BH,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8,phaw_2,new
189,BI,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.2,phaw_2,new
190,BJ,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.1,phaw_2,new
191,BK,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.5,phaw_2,new
192,BL,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.7,phaw_2,new
193,BM,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.9,phaw_2,new
194,BN,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.3,phaw_2,new
195,BO,F,O,,17,,,Size-age,Luke,FALSE,O,?,9,phaw_2,new
196,BP,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.7,phaw_2,new
197,BR,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.3,phaw_2,new
198,BS,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.6,phaw_2,new
199,BT,F,O,,17,,,Size-age,Luke,FALSE,O,?,9.6,phaw_2,new
201,LAun,F,O,,17,,,regen-long,Luke,FALSE,O,?,7.2,phaw_2,new
202,LAreg,F,O,R-A,17,,,regen-long,Luke,FALSE,OR-A,?,7.2,phaw_2,new
203,LBun,F,O,,17,,,regen-long,Luke,FALSE,O,?,7.2,phaw_2,new
204,LBreg,F,O,R-A,17,,,regen-long,Luke,FALSE,OR-A,?,7.2,phaw_2,new
205,LCun,F,O,,18,,,regen-long,Luke,FALSE,O,?,6.3,phaw_2,new
206,LCreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,6.3,phaw_2,new
207,LDun,F,O,,18,,,regen-long,Luke,FALSE,O,?,7,phaw_2,new
208,LDreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,7,phaw_2,new
209,LEun,F,M,,18,,,regen-long,Luke,FALSE,M,?,6.1,phaw_2,new
210,LEreg,F,M,R-A,18,,,regen-long,Luke,FALSE,MR-A,?,6.1,phaw_2,new
211,LFun,F,O,,18,,,regen-long,Luke,FALSE,O,?,7.1,phaw_2,new
212,LFreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,7.1,phaw_2,new
213,LGun,F,M,,18,,,regen-long,Luke,FALSE,M,?,6.6,phaw_2,new
214,LGreg,F,M,R-A,18,,,regen-long,Luke,FALSE,MR-A,?,6.6,phaw_2,new
215,BAun,F,M,,18,,,regen,Luke,FALSE,M,?,6.9,phaw_2,new
216,BAreg,F,M,R,18,,,regen,Luke,FALSE,MR,?,6.9,phaw_2,new
217,BBun,F,M,,19,,,regen,Luke,FALSE,M,?,6.9,phaw_2,new
218,BBreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.9,phaw_2,new
219,BCun,F,M,,19,,,regen,Luke,FALSE,M,?,6.8,phaw_2,new
220,BCreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.8,phaw_2,new
221,BDun,F,M,,19,,,regen,Luke,FALSE,M,?,6.6,phaw_2,new
222,BDreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.6,phaw_2,new
223,BEun,F,O,,19,,,regen,Luke,FALSE,O,?,7.3,phaw_2,new
224,BEreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,7.3,phaw_2,new
