"","X","sample","sex","age","reg","ctg","size","moult","exp","prep","flag","type","qual","length","codeset","cohdate","regentime","wkage","key","over0reads","over10reads","predage"
"105",105,"Ireg","F","O","R",9,"I",NA,"regen","Luke",FALSE,"OR","ok",NA,"phaw_1",NA,7,NA,"Ireg 9",94,29,NA
"106",106,"Kbef","F","O","",9,"I",NA,"regen","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"Kbef 9",75,34,NA
"107",107,"Kun","F","O","",9,"I",NA,"regen","Luke",FALSE,"O","bad",NA,"phaw_1",NA,NA,NA,"Kun 9",28,28,NA
"108",108,"Kreg","F","O","R",9,"I",NA,"regen","Luke",FALSE,"OR","ok",NA,"phaw_1",NA,7,NA,"Kreg 9",60,17,NA
"109",109,"A","F","O","",10,"P",NA,"Size-age","Luke",FALSE,"O","bad",7.25,"phaw_1",NA,NA,NA,"A 10",66,48,43.5428547531803
"110",110,"B","F","O","",10,"P",NA,"Size-age","Luke",FALSE,"O","ok",7.25,"phaw_1",NA,NA,NA,"B 10",119,80,43.5428547531803
"111",111,"C","F","O","",10,"P",NA,"Size-age","Luke",FALSE,"O","ok",8.25,"phaw_1",NA,NA,NA,"C 10",142,142,62.308555751201
"112",112,"D","F","Y","",10,"P",NA,"Size-age","Luke",FALSE,"Y","ok",5.75,"phaw_1",NA,NA,NA,"D 10",140,93,27.5683767583753
"113",113,"E","F","O","",10,"P",NA,"Size-age","Luke",FALSE,"O","ok",7.5,"phaw_1",NA,NA,NA,"E 10",135,102,47.4656298742701
"114",114,"F","F","O","",10,"P",NA,"Size-age","Luke",FALSE,"O","ok",7.75,"phaw_1",NA,NA,NA,"F 10",158,128,51.870372423198
"115",115,"G","F","M","",10,"P",NA,"Size-age","Luke",FALSE,"M","ok",6.25,"phaw_1",NA,NA,NA,"G 10",176,134,31.7574488140354
"116",116,"H","F","O","",10,"P",NA,"Size-age","Luke",FALSE,"O","ok",7.75,"phaw_1",NA,NA,NA,"H 10",190,110,51.870372423198
"117",117,"I","F","M","",10,"P",NA,"Size-age","Luke",FALSE,"M","ok",6.5,"phaw_1",NA,NA,NA,"I 10",188,89,34.209344090356
"118",118,"J","F","Y","",10,"P",NA,"Size-age","Luke",FALSE,"Y","ok",4.75,"phaw_1",NA,NA,NA,"J 10",186,154,20.7695350085479
"119",119,"K","F","Y","",10,"P",NA,"Size-age","Luke",FALSE,"Y","ok",5.5,"phaw_1",NA,NA,NA,"K 10",187,85,25.7398020057193
"120",120,"L","F","M","",10,"P",NA,"Size-age","Luke",FALSE,"M","ok",6.25,"phaw_1",NA,NA,NA,"L 10",194,148,31.7574488140354
"121",121,"Xreg","F","O","R",11,"I",NA,"regen","Luke",FALSE,"OR","ok",7.5,"phaw_1",NA,7,NA,"Xreg 11",111,73,47.4656298742701
"122",122,"Xun","F","O","",11,"I",NA,"regen","Luke",FALSE,"O","bad",7.5,"phaw_1",NA,NA,NA,"Xun 11",56,56,47.4656298742701
"123",123,"Mreg","F","O","R",11,"I",NA,"regen","Luke",TRUE,"OR","bad",7,"phaw_1",NA,7,NA,"Mreg 11",45,45,40.0563480732702
"124",124,"Mun","F","O","",11,"I",NA,"regen","Luke",FALSE,"O","ok",7,"phaw_1",NA,NA,NA,"Mun 11",134,134,40.0563480732702
"125",125,"Nreg","F","O","R",11,"I",NA,"regen","Luke",FALSE,"OR","?",7.5,"phaw_1",NA,7,NA,"Nreg 11",81,81,47.4656298742701
"126",126,"Nun","F","O","",11,"I",NA,"regen","Luke",FALSE,"O","?",7.5,"phaw_1",NA,NA,NA,"Nun 11",161,133,47.4656298742701
"127",127,"Oreg","F","O","R",11,"I",NA,"regen","Luke",FALSE,"OR","?",6.5,"phaw_1",NA,7,NA,"Oreg 11",184,168,34.209344090356
"128",128,"Oun","F","O","",11,"I",NA,"regen","Luke",FALSE,"O","?",6.5,"phaw_1",NA,NA,NA,"Oun 11",164,155,34.209344090356
"129",129,"M","F","M","",11,"P",NA,"Size-age","Luke",FALSE,"M","ok",5.6,"phaw_1",NA,NA,NA,"M 11",187,157,26.4547076993803
"130",130,"N","F","M","",11,"P",NA,"Size-age","Luke",FALSE,"M","ok",5.9,"phaw_1",NA,NA,NA,"N 11",183,142,28.7403926450131
"131",131,"O","F","Y","",11,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.3,"phaw_1",NA,NA,NA,"O 11",190,174,24.3629261398457
"132",132,"P","F","O","",11,"P",NA,"Size-age","Luke",FALSE,"O","?",6.4,"phaw_1",NA,NA,NA,"P 11",187,167,33.1952445453361
"133",133,"Q","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.3,"phaw_1",NA,NA,NA,"Q 12",186,176,24.3629261398457
"134",134,"R","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.8,"phaw_1",NA,NA,NA,"R 12",170,161,27.952078283881
"135",135,"S","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",4.2,"phaw_1",NA,NA,NA,"S 12",187,178,17.0758521782981
"136",136,"T","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",3.8,"phaw_1",NA,NA,NA,"T 12",109,109,14.0486944205535
"137",137,"U","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.35,"phaw_1",NA,NA,NA,"U 12",184,176,24.7014421458662
"138",138,"V","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.9,"phaw_1",NA,NA,NA,"V 12",188,179,28.7403926450131
"139",139,"W","F","M","",12,"P",NA,"Size-age","Luke",FALSE,"M","?",6.8,"phaw_1",NA,NA,NA,"W 12",191,178,37.5505462879572
"140",140,"X","F","O","",12,"P",NA,"Size-age","Luke",FALSE,"O","?",7.3,"phaw_1",NA,NA,NA,"X 12",193,180,44.2910459345308
"141",141,"Y","F","M","",12,"P",NA,"Size-age","Luke",FALSE,"M","?",6.2,"phaw_1",NA,NA,NA,"Y 12",188,177,31.2989488256899
"142",142,"Z","F","Y","",12,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.8,"phaw_1",NA,NA,NA,"Z 12",194,181,27.952078283881
"143",143,"AA","F","M","",12,"P",NA,"Size-age","Luke",FALSE,"M","?",6.6,"phaw_1",NA,NA,NA,"AA 12",189,175,35.2713110723688
"144",144,"AB","F","O","",12,"P",NA,"Size-age","Luke",TRUE,"O","?",7.2,"phaw_1",NA,NA,NA,"AB 12",194,179,42.8121143094769
"145",145,"Preg","F","O","R",13,"I",NA,"regen","Luke",FALSE,"OR","?",6.5,"phaw_1",NA,7,NA,"Preg 13",174,171,34.209344090356
"146",146,"Pun","F","O","",13,"I",NA,"regen","Luke",FALSE,"O","?",6.5,"phaw_1",NA,NA,NA,"Pun 13",62,62,34.209344090356
"147",147,"Qreg","F","M","R",13,"P",NA,"regen","Luke",FALSE,"MR","?",6.2,"phaw_1",NA,7,NA,"Qreg 13",121,121,31.2989488256899
"148",148,"Qun","F","M","",13,"P",NA,"regen","Luke",FALSE,"M","?",6.2,"phaw_1",NA,NA,NA,"Qun 13",167,148,31.2989488256899
"149",149,"Rreg","F","Y","R",13,"P",NA,"regen","Luke",FALSE,"YR","?",5.6,"phaw_1",NA,7,NA,"Rreg 13",172,167,26.4547076993803
"150",150,"Run","F","Y","",13,"P",NA,"regen","Luke",FALSE,"Y","?",5.6,"phaw_1",NA,NA,NA,"Run 13",170,159,26.4547076993803
"151",151,"Coh1","F","O","",13,"I",NA,"cohorts","Luke",FALSE,"O","?",7.6,"phaw_1",2017-08-21,NA,45.7142857142857,"Coh1 13",115,92,49.1671316592478
"152",152,"Coh2","F","O","",13,"I",NA,"cohorts","Luke",FALSE,"O","?",7,"phaw_1",2017-09-11,NA,42.7142857142857,"Coh2 13",168,168,40.0563480732702
"153",153,"Coh3","F","M","",13,"I",NA,"cohorts","Luke",FALSE,"M","?",6.2,"phaw_1",2017-09-08,NA,43.1428571428571,"Coh3 13",174,160,31.2989488256899
"154",154,"Coh4","F","M","",13,"I",NA,"cohorts","Luke",FALSE,"M","?",6.1,"phaw_1",2017-10-15,NA,37.8571428571429,"Coh4 13",111,111,30.4109031807714
"155",155,"Coh5","F","Y","",13,"I",NA,"cohorts","Luke",FALSE,"Y","?",5.9,"phaw_1",2017-10-15,NA,37.8571428571429,"Coh5 13",152,129,28.7403926450131
"156",156,"Coh6","F","Y","",13,"I",NA,"cohorts","Luke",FALSE,"Y","?",5.9,"phaw_1",2017-10-15,NA,37.8571428571429,"Coh6 13",177,177,28.7403926450131
"157",157,"Coh7","F","Y","",14,"I",NA,"cohorts","Luke",FALSE,"Y","?",5.1,"phaw_1",2018-02-19,NA,19.7142857142857,"Coh7 14",168,168,23.0371327349288
"158",158,"Coh8","F","Y","",14,"I",NA,"cohorts","Luke",FALSE,"Y","?",4.1,"phaw_1",2018-02-19,NA,19.7142857142857,"Coh8 14",100,100,16.3554767837797
"159",159,"Coh9","F","O","",14,"I",NA,"cohorts","Luke",FALSE,"O","?",9.1,"phaw_1",2016-10-20,NA,89.2857142857143,"Coh9 14",173,160,85.9322529477733
"160",160,"Coh10","F","Y","",14,"I",NA,"cohorts","Luke",FALSE,"Y","?",4.8,"phaw_1",2018-01-23,NA,23.5714285714286,"Coh10 14",108,74,21.0930393767903
"161",161,"Coh11","F","Y","",14,"I",NA,"cohorts","Luke",FALSE,"Y","?",4,"phaw_1",2018-02-23,NA,19.1428571428571,"Coh11 14",122,82,15.6127751827468
"162",162,"Coh12","F","Y","",14,"I",NA,"cohorts","Luke",FALSE,"Y","?",4.1,"phaw_1",2018-02-23,NA,19.1428571428571,"Coh12 14",130,85,16.3554767837797
"163",163,"Coh13","F","O","",14,"I",NA,"cohorts","Luke",FALSE,"O","?",8.5,"phaw_1",2017-04-10,NA,64.7142857142857,"Coh13 14",166,72,68.4333945035928
"164",164,"Coh14","F","O","",14,"I",NA,"cohorts","Luke",FALSE,"O","?",8.9,"phaw_1",2016-12-21,NA,80.4285714285714,"Coh14 14",167,69,79.6348551047698
"165",165,"Coh15","F","O","",14,"I",NA,"cohorts","Luke",FALSE,"O","?",8.5,"phaw_1",2017-04-03,NA,65.7142857142857,"Coh15 14",128,68,68.4333945035928
"166",166,"AC","F","Y","",14,"P",NA,"Size-age","Luke",FALSE,"Y","?",5.8,"phaw_1",NA,NA,NA,"AC 14",192,177,27.952078283881
"167",167,"AD","F","O","",14,"P",NA,"Size-age","Luke",FALSE,"O","?",8.5,"phaw_1",NA,NA,NA,"AD 14",187,171,68.4333945035928
"168",168,"AE","F","O","",14,"P",NA,"Size-age","Luke",FALSE,"O","?",7.5,"phaw_1",NA,NA,NA,"AE 14",187,129,47.4656298742701
"169",169,"AF","F","Y","",15,"P",NA,"Size-age","Luke",FALSE,"Y","?",4.5,"phaw_2",NA,NA,NA,"AF 15",61,60,19.1322684742285
